bet_id,timestamp,league,game_date,team_home,team_away,player,market_type,side,line,book,odds,stake_dollars,status,actual_result,payout,graded_timestamp,model_prob,edge_bps
bet_1762728690586,2025-11-09T22:51:30.586Z,NHL,2025-11-09,Vancouver Canucks,Colorado Avalanche,Evander Kane,sog,over,2.5,FanDuel,-120,10.00,lost,2.0,0.00,2025-11-10T08:40:00.000000,0.9599,undefined
bet_1762729880477,2025-11-09T23:11:20.477Z,NHL,2025-11-09,OTT,UTA,,team_total,under,6.5,Fanatics,-130,10.00,won,5.0,17.69,2025-11-10T08:40:00.000000,,undefined
bet_1762729000000,2025-11-09T20:00:00.000Z,NHL,2025-11-09,MIN,CGY,,team_total,under,6.5,BetMGM,-115,5.00,won,6.0,9.35,2025-11-10T08:40:00.000000,,
bet_1762785069378,2025-11-10T14:31:09.378Z,NFL,2025-11-10,HOU,JAX,,team_total,over,37.5,fanduel,-105,1.25,won,65.0,2.44,2025-11-10T09:59:44.659427,,
bet_1762785094686,2025-11-10T14:31:34.686Z,NFL,2025-11-10,GB,PHI,,team_total,over,45.5,draftkings,-112,1.25,lost,17.0,0.00,2025-11-11T07:15:59.523989,,
bet_1762788098189,2025-11-10T15:21:38.189Z,NHL,2025-11-11,NJD,NYI,,team_total,over,6,BetMGM,-120,5.00,lost,5.0,0.00,2025-11-11T08:04:46.739270,,
bet_1762867196937,2025-11-11T13:19:56.937Z,NHL,2025-11-11,Montreal Canadiens,Los Angeles Kings,Brandt Clarke,sog,over,1.5,FanDuel,-114,5.00,won,5.0,9.39,2025-11-12T17:14:38.792060,,
bet_1762986016018,2025-11-12T22:20:16.018Z,NHL,2025-11-12,TOR,LAK,,team_total,under,6.5,Fanatics,-125,5.00,pending,,,,,
bet_1762987246918,2025-11-12T22:40:46.918Z,NHL,2025-11-12,CGY,SJS,,team_total,under,6.5,DraftKings,-130,5.00,pending,,,,,
bet_1763077160486,2025-11-13T23:39:20.486Z,NHL,2025-11-13,WSH,FLA,Jakob Chychrun,sog,over,2.5,FanDuel,-110,5.00,pending,,,,,
bet_1763127724314,2025-11-14T13:42:04.314Z,NHL,2025-11-14,VAN,CAR,Jake DeBrusk,goals,over,0.5,FanDuel,-110,5.00,pending,,,,,
